Genre,Question,Answer,Incorrect1,Incorrect2,Incorrect3
Horror,What Species is the monster from Alien? ,Xenomorph,Predator,Martian,Clown
Horror,Who is the killer in the original Friday the 13th? ,Pamela Voorhees,Jason Voorhees,Michael Myers,Freddy Krueger
Horror,Who were the killers in the first Scream movie? ,Billy Loomis and Stu Macher,Sydney Prescott and Billy Loomis,Randy Meeks and Stu Macher,Sydney Prescott and Randy Meeks
Horror,What is the name of the main character in Scream 1-4? ,Sydney Prescott,Randy Meeks,Gale Weathers,Dewey Riley
Horror,Who is the actor that plays Freddy Krueger in the original Nightmare on Elm Street? ,Robert Englund,Kane Hodder,Wes Craven,Kevin Bacon
Horror,What is Chucky's real name? ,Charles Lee Ray,Charleston Entertainment Cheese the 3rd,Charlie Gray,Chuckles
Horror,What movie series is Pinhead from? ,Hellraiser,Tremors,Nightmare on Elm Street,The Cube
Horror,What game series is The Umbrella Corporation from? ,Resident Evil,Little Nightmares,Outlast,Amnesia
Horror,What is the name of the character you play as in Little Nightmares? ,Six,Mono,Four,Chrome
Horror,How many predators are in the original Predator? ,One,Two,Three,None
Horror,How many killers were in the first season of Scream: The TV Series? ,Two,One,Three,Four
Horror,Who is the killer in Halloween? ,Michael Myers,Jason Voorhees,Freddy Krueger,Ghostface
Horror,What sort of doll is Chucky? ,Good Guy Doll,Bad Guy Doll,Barbie Doll,Not actually a real doll
Horror,What movie franchise is the Graboid from? ,Tremors,Alien,Predator,Slither
Horror,Who do you play as in Bendy and the Ink Machine? ,Henry Stein,Joey Drew,Bendy,Boris
Horror,What is the name of the Yellow Rabbit in Five Night's at Freddy's 3? ,Springtrap,Freddy,Bonnie,Springlock
Horror,Who does Tony Todd play in The Final Destination movies? ,The Coroner,Death,Freddy Crews,Background Character
Horror,What is Leatherface's mask made out of? ,Human faces,Leather,Fabric,Plastic
Horror,What horror movie character has Jason Voorhees fought in a movie? ,Freddy Krueger,Predator,Xenomorph,Chucky
Horror,What horror Monster fights the predator in AVP? ,Xenomorph,Martian,Brightburn,The Thing
Horror,Which actress plays the lead in The Menu?,Anya Taylor-Joy,Melissa Barrera,Sosie Bacon,Mia Goth
Horror,What is the name of the murderous clown from IT?,Pennywise,Bibbo,Art the Clown,Plucky
Horror,What are the zombie-like creatures in The Evil Dead franchise called?,Deadites,Zombies,Walkers,The Undead
Horror,Which Saw movie is Saw 3D?,The 7th,The 3rd,The 8th,The 6th
Horror,What is the name of the tool you use in Poppy Playtime?,The Grabpack,The Handipack,The Grab Cannon,The Hand Cannon
Video Games,What FPS game are Crypto and Wattson from? ,Apex Legends,Doom(2016),Bioshock,Titanfall 2
Video Games,What season of Fortnite was Deadpool Available in? ,Chapter 2 Season 2,Chapter 1 Season 2,Chapter 2 Season 8,Chapter 3 Season 1
Video Games,What game series is Ethan Winters from? ,Resident Evil,Bioshock,Doom,Outlast
Video Games,What is DBD short for? ,Dead by Daylight,Dual Before Death,Deadly Blow Dealt,Drink Before Death
Video Games,"What game are Monika, Natsuki, Yuri, and Sayori from? ",Doki Doki Literature Club,Yandere Simulator,Silent Hill,Fran Bow
Video Games,What genre of game is Beat Saber? ,Rhythm,Action / Adventure,Horror,Fighting
Video Games,What is COD? ,Call of Duty,Chains of Despair,Clear Out Dorms,Cat on Door
Video Games,How many characters do you play as in Detroit: Become Human?,3,2,1,4
Video Games,What is NOED? ,No One Escapes Death,Never Open Exit Doors,New Opponent Entering Dropzone,No Ordering Evil Dead
Video Games,What year did the Doom Eternal come out? ,2020,2021,2019,2018
Video Games,What is the final boss in Doom Eternal? ,The Icon of Sin,Spider Mastermind,Samuel Hayden,Khan Maykr
Video Games,In Minecraft what block is a barrier at the bottom of the world? ,Bedrock,Invisible Wall,Stone,No Barrier
Video Games,What genre is First Class Trouble? ,Indie,Horror,FPS,Action / Adventure
Video Games,What game series is Dokkaebi from? ,Rainbow Six,Call of Duty,Battlefield,Titanfall
Video Games,What game refers to playable characters as operators? ,Rainbow Six Siege,Apex Legends,Fortnite,Valorant
Video Games,In Doom (2016) you can perform _____ kills on demons.,Glory,Insta,Mercy,Over
Video Games,What does FNAF stand for? ,Five Nights at Freddy's,Four Nights at Fitzgerald's,Four Nights at Freddy's,Five Nights at Fitzgerald's
Video Games,What is Genji from? ,Overwatch,Apex Legends,Fortnite,Rainbow Six Siege
Video Games,What game is the R-201 from? ,Titanfall 2,Apex Legends,Fortnite,Doom
Video Games,What Batman Arkham game does Joker die in? ,Batman Arkham City,Batman Arkham Origins,Batman Arkham Knight,Batman Arkham Asylum
Video Games,What hair feature do all Danganronpa protagonists share?,An Ahoge,Spiky Hair,A Cap,Brown Hair
Video Games,By which name is the protagonist of Persona 4 most commonly reffered to as?,Yu Narukami,Makoto Yuki,Ren Amamiya,Yosuke Hanamura
Video Games,Who do you play as primarily in the original Ace Attorney Trilogy?,Phoenix Wright,Miles Edgeworth,Apollo Justice,Ryunosuke Naruhodo
